id,amount,date,client_id,payment_receiver_id,description,created_at,updated_at,created_by,archived,is_recurring,recurring_frequency,recurring_end_date
2eb0ac91-321d-43db-b222-e5558a080dc1,3572,2025-05-28,74a53b66-59a8-4a63-82d6-f0148fc7a664,71f3c3f2-cc8d-4ed1-8766-3bf2f9028514,Pilotsafe 1 Dev,2025-06-02 02:21:32.880528+00,2025-06-09 13:21:32.068607+00,239adf37-4b41-49ea-ab5a-869ea477861b,false,true,monthly,
3bf4e0b6-e928-4a97-9542-b1bbdfb3350c,15500,2025-05-22,72da234e-5599-4259-9792-9f3227cf95d4,b0a0e020-70a2-433a-979c-631bbf654f58,iClosed Expenses Payment v1,2025-06-02 01:20:02.10134+00,2025-06-02 01:20:02.10134+00,239adf37-4b41-49ea-ab5a-869ea477861b,false,false,,
7bda9ed2-b0c7-41c6-9b70-ef2901fd4827,10306,2025-05-28,f4af4a4f-9072-4edd-a15c-71828b1f7b59,71f3c3f2-cc8d-4ed1-8766-3bf2f9028514,Cargomate 3 Devs,2025-06-02 02:03:31.949313+00,2025-06-09 13:21:08.990447+00,239adf37-4b41-49ea-ab5a-869ea477861b,false,true,monthly,2025-06-30
aed1639f-4788-4e83-bd89-2e2cfbce3246,23600,2025-05-20,72da234e-5599-4259-9792-9f3227cf95d4,b0a0e020-70a2-433a-979c-631bbf654f58,iClosed 1st Payment,2025-06-02 01:17:14.491903+00,2025-06-09 13:19:59.120145+00,239adf37-4b41-49ea-ab5a-869ea477861b,false,true,monthly,
bebf3773-c09a-44ad-911b-87e141c5b07d,3500,2025-05-27,72da234e-5599-4259-9792-9f3227cf95d4,b0a0e020-70a2-433a-979c-631bbf654f58,iClosed Expenses Payment v2,2025-06-02 01:20:37.882679+00,2025-06-02 01:20:37.882679+00,239adf37-4b41-49ea-ab5a-869ea477861b,false,false,,
caca0af0-476b-45b3-b5cc-352fdd898a8f,4000,2025-05-29,72da234e-5599-4259-9792-9f3227cf95d4,b0a0e020-70a2-433a-979c-631bbf654f58,iClosed Sales payment v1,2025-06-02 01:49:22.482107+00,2025-06-02 01:49:22.482107+00,239adf37-4b41-49ea-ab5a-869ea477861b,false,false,,
ea08f0bf-7a26-4194-b602-38fc962941c9,27000,2025-05-23,72da234e-5599-4259-9792-9f3227cf95d4,b0a0e020-70a2-433a-979c-631bbf654f58,iClosed Payment 2,2025-06-02 01:18:30.249751+00,2025-06-09 13:20:12.648568+00,239adf37-4b41-49ea-ab5a-869ea477861b,false,true,monthly,
f56c8b5f-91e4-4c14-b7ef-02ba36a23a28,22300,2025-05-23,72da234e-5599-4259-9792-9f3227cf95d4,b0a0e020-70a2-433a-979c-631bbf654f58,iClosed Payment 3,2025-06-02 01:18:57.200649+00,2025-06-09 13:20:32.937449+00,239adf37-4b41-49ea-ab5a-869ea477861b,false,true,monthly,
